Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
2,4000;3072;0;4;0;76;0,4000;512;2;0;0;0;0;1
2,8000;3584;0;4;512;76;0,4000;512;2;0;0;0;0;0
3,2000;4096;1;1;0;76;0,1609;206;1;1;1;1;0;0
3,4000;4352;1;1;256;74;0,2164;277;1;0;0;0;0;1
3,8000;4864;1;1;768;74;0,4578;586;2;0;0;0;0;0
4,2000;5376;1;2;256;71;0,3633;465;2;1;0;0;0;0
4,6000;5888;1;2;768;74;0,4016;514;2;0;0;0;0;0
5,0000;6400;1;3;256;67;0,3945;505;2;0;0;1;1;0
5,4000;6912;1;3;768;74;0,0977;125;1;1;1;0;0;0
5,6000;7168;1;4;0;74;0,3930;503;2;0;0;1;0;0
6,0000;7680;1;4;512;76;0,3930;503;2;0;0;0;0;0
6,4000;8192;2;1;0;74;0,3750;480;2;0;0;1;0;0
6,8000;8704;2;1;512;72;0,0961;123;1;1;1;0;0;0
7,0000;8960;2;1;768;72;0,3883;497;2;1;0;1;0;0
7,4000;9472;2;2;256;69;0,1797;230;1;0;0;0;0;0
7,6000;9728;2;2;512;72;0,7766;994;4;1;1;1;1;1
8,8000;11264;2;4;0;76;0,2250;288;1;0;0;0;0;0
9,2000;11776;2;4;512;76;0,1766;226;1;0;0;0;0;0
9,6000;12288;3;1;0;76;0,3445;441;2;1;0;1;0;0
10,0000;12800;3;1;512;74;0,1133;145;1;1;0;0;0;0
10,2000;13056;3;1;768;74;0,3664;469;2;0;0;1;0;0
10,6000;13568;3;2;256;71;0,3414;437;2;0;0;0;0;0
11,0000;14080;3;2;768;74;0,3961;507;2;0;0;0;0;0
11,4000;14592;3;3;256;67;0,4398;563;2;1;1;1;1;1
12,6000;16128;3;4;768;72;0,0914;117;1;0;0;0;0;0
12,8000;16384;4;1;0;81;0,3297;422;2;1;0;0;0;0
13,2000;16896;4;1;512;79;0,1000;128;1;0;0;0;0;0
13,4000;17152;4;1;768;79;0,4016;514;2;0;0;0;0;0
13,8000;17664;4;2;256;81;0,3414;437;2;1;0;1;0;0
14,2000;18176;4;2;768;76;0,4133;529;2;0;0;0;0;0
14,6000;18688;4;3;256;74;0,1711;219;1;1;1;1;0;0
14,8000;18944;4;3;512;72;0,4047;518;2;0;0;0;0;0
15,2000;19456;4;4;0;74;0,3727;477;2;0;0;0;0;0
15,6000;19968;4;4;512;76;0,2078;266;1;1;1;1;1;1
