Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,0000;0;1;1;0;64;1,5789;3074;12;0;0;0;0;1
1,5789;3072;1;4;0;67;0,5263;1025;4;0;0;1;0;0
2,1053;4096;2;1;0;72;1,5789;3074;12;1;0;0;0;0
3,6842;7168;2;4;0;71;0,2652;516;2;0;0;0;0;0
3,9474;7680;2;4;512;69;0,2585;503;2;0;0;0;0;0
4,2105;8192;3;1;0;67;1,5743;3065;12;1;0;0;0;1
5,7895;11264;3;4;0;64;0,5263;1025;4;0;0;0;0;0
6,3158;12288;4;1;0;60;1,3497;2628;10;1;1;1;1;0
7,8947;15360;4;4;0;60;0,5083;990;4;0;0;0;0;0
8,4210;16384;5;1;0;62;1,4571;2837;11;1;0;0;0;0
10,0000;19456;5;4;0;62;0,4451;867;3;0;0;0;0;0
10,5263;20480;6;1;0;62;0,7530;1466;6;1;1;1;0;0
11,3158;22016;6;2;512;64;0,1074;209;1;0;0;0;0;0
11,4474;22272;6;2;768;62;0,1377;268;1;0;0;0;0;0
11,5789;22528;6;3;0;60;0,5351;1042;4;0;0;1;0;0
12,1052;23552;6;4;0;62;0,5263;1025;4;0;0;0;0;0
12,6316;24576;7;1;0;64;2,1053;4098;16;1;1;1;1;1
