Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,7500;1024;1;2;0;74;0,3105;424;2;1;0;1;0;1
1,1250;1536;1;2;512;71;0,1655;226;1;0;0;0;0;0
1,3125;1792;1;2;768;69;0,1875;256;1;1;1;1;1;1
2,2500;3072;1;4;0;71;0,3545;484;2;0;0;0;0;0
2,6250;3584;1;4;512;72;0,1421;194;1;1;0;0;0;0
2,8125;3840;1;4;768;74;0,5354;731;3;0;0;0;0;0
3,3750;4608;2;1;512;76;0,3435;469;2;0;0;0;0;0
3,7500;5120;2;2;0;74;0,3369;460;2;0;0;0;0;0
4,1250;5632;2;2;512;71;0,1245;170;1;1;0;1;0;0
4,3125;5888;2;2;768;67;0,3406;465;2;0;0;0;0;0
4,6875;6400;2;3;256;69;1,2078;1649;6;1;1;1;1;1
6,7500;9216;3;2;0;74;0,3369;460;2;0;0;0;0;0
7,1250;9728;3;2;512;71;0,1641;224;1;0;0;0;0;0
7,3125;9984;3;2;768;69;0,1355;185;1;1;0;1;0;0
8,2500;11264;3;4;0;71;0,3589;490;2;0;0;0;0;0
8,6250;11776;3;4;512;72;0,3750;512;2;0;0;0;0;0
9,0000;12288;4;1;0;74;0,3384;462;2;1;0;0;0;0
9,3750;12800;4;1;512;76;0,4541;620;2;0;0;0;0;0
9,7500;13312;4;2;0;78;0,3618;494;2;0;0;1;0;0
10,1250;13824;4;2;512;76;1,8384;2510;10;1;1;1;1;1
