Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
2,6471;3840;0;4;768;57;0,1027;149;1;0;0;1;1;1
2,8235;4096;1;1;0;67;0,3012;438;2;0;0;0;0;0
3,1765;4608;1;1;512;65;0,1585;230;1;1;1;0;0;0
3,5294;5120;1;2;0;65;0,3185;463;2;0;0;1;0;0
3,8824;5632;1;2;512;64;0,3529;513;2;0;0;0;0;0
4,2353;6144;1;3;0;64;0,1703;247;1;1;0;1;1;0
4,4118;6400;1;3;256;57;0,2102;305;1;0;1;0;0;0
4,7647;6912;1;3;768;60;0,4426;643;3;1;1;1;0;1
5,4706;7936;1;4;768;62;0,1172;170;1;0;0;0;0;0
5,6471;8192;2;1;0;64;0,1861;270;1;0;0;0;0;0
6,0000;8704;2;1;512;64;0,1523;221;1;0;0;0;0;0
6,3529;9216;2;2;0;64;0,1544;224;1;1;0;0;0;0
6,7059;9728;2;2;512;64;0,1496;217;1;0;0;0;0;0
7,0588;10240;2;3;0;64;0,1510;219;1;0;0;0;0;0
7,4118;10752;2;3;512;64;0,1585;230;1;1;0;1;0;0
7,7647;11264;2;4;0;62;0,1744;253;1;0;0;0;0;0
7,9412;11520;2;4;256;60;0,0882;128;1;1;1;0;0;0
8,2941;12032;2;4;768;57;0,0834;121;1;0;0;1;1;0
8,4706;12288;3;1;0;64;0,1965;285;1;1;0;0;0;0
8,8235;12800;3;1;512;64;0,2220;322;1;0;0;1;0;0
9,1765;13312;3;2;0;62;0,2909;423;2;1;0;0;0;0
9,5294;13824;3;2;512;60;0,1324;192;1;0;0;0;0;0
9,7059;14080;3;2;768;62;0,4674;679;3;1;1;1;1;1
11,1176;16128;3;4;768;57;0,0882;128;1;0;0;0;0;0
11,2941;16384;4;1;0;64;0,1834;266;1;1;0;0;0;0
11,6471;16896;4;1;512;64;0,1585;230;1;0;0;1;0;0
12,0000;17408;4;2;0;62;0,3185;463;2;0;0;0;0;0
12,3529;17920;4;2;512;60;0,1496;217;1;0;0;0;0;0
12,5294;18176;4;2;768;62;0,6425;933;4;1;1;1;1;1
