Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,6000;1024;1;2;0;66;0,1061;181;1;0;0;0;0;1
0,9000;1536;1;2;512;66;0,1137;194;1;0;0;0;0;0
1,2000;2048;1;3;0;66;0,5625;960;4;0;0;1;0;0
1,8000;3072;1;4;0;69;0,5561;949;4;1;1;0;0;0
2,4000;4096;2;1;0;67;0,5959;1017;4;0;0;0;0;0
3,0000;5120;2;2;0;66;0,2871;490;2;0;0;0;0;0
3,3000;5632;2;2;512;64;0,1471;251;1;1;0;1;1;0
3,9000;6656;2;3;512;62;0,3322;567;2;0;0;0;0;0
4,2000;7168;2;4;0;64;0,3082;526;2;0;0;0;0;0
4,5000;7680;2;4;512;66;0,3000;512;2;0;0;0;0;0
4,8000;8192;3;1;0;59;0,2648;452;2;0;0;0;0;0
5,1000;8704;3;1;512;66;0,3000;512;2;1;1;1;0;1
5,7000;9728;3;2;512;66;0,3199;546;2;0;0;0;0;0
6,0000;10240;3;3;0;59;0,2959;505;2;0;0;0;0;0
6,3000;10752;3;3;512;66;0,1436;245;1;1;0;1;0;0
6,9000;11776;3;4;512;64;0,5795;989;4;0;0;0;0;0
7,5000;12800;4;1;512;62;0,2912;497;2;0;0;0;0;0
7,8000;13312;4;2;0;64;0,3721;635;2;1;0;1;0;0
8,2500;14080;4;2;768;66;0,1184;202;1;0;0;0;0;0
8,4000;14336;4;3;0;64;0,2572;439;2;1;0;0;0;0
8,7000;14848;4;3;512;62;0,2637;450;2;0;0;0;0;0
9,0000;15360;4;4;0;59;0,3586;612;2;1;1;1;1;1
