Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
2,6660;2730;0;3;768;71;0,3506;359;22;0;0;0;0;0
3,0000;3072;0;4;0;74;0,6270;642;40;1;1;0;0;0
3,6660;3754;0;4;768;66;0,3340;342;21;0;0;1;0;0
4,0000;4096;1;1;0;71;0,2139;219;14;0;0;0;0;0
4,3330;4437;1;1;256;71;0,6289;644;40;1;1;1;1;1
9,3330;9557;2;2;256;76;0,0791;81;5;0;0;0;0;0
9,5000;9728;2;2;512;76;0,0830;85;5;0;0;0;0;0
9,6660;9898;2;2;768;76;0,0859;88;6;0;0;0;0;0
9,8330;10069;2;3;0;76;0,1357;139;9;0;0;1;0;0
10,0000;10240;2;3;256;78;0,6348;650;41;0;0;0;0;0
10,6660;10922;2;4;0;74;0,8506;871;54;1;0;1;1;0
11,6660;11946;3;1;0;71;0,0938;96;6;0;0;0;0;0
11,8330;12117;3;1;256;71;0,1016;104;7;0;0;0;0;0
12,0000;12288;3;1;512;71;0,9033;925;58;1;1;1;1;1
