Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,0000;0;1;1;0;65;1,4912;3054;12;0;0;1;0;1
1,5000;3072;1;4;0;64;0,4912;1006;4;0;0;0;0;0
2,0000;4096;2;1;0;65;1,4048;2877;11;1;0;1;0;0
3,5000;7168;2;4;0;64;0,5000;1024;4;0;0;0;0;0
4,0000;8192;3;1;0;65;3,3135;6786;27;1;1;1;1;1
7,7500;15872;4;4;512;67;0,1978;405;2;0;0;0;0;0
8,0000;16384;5;1;0;74;0,1250;256;1;0;0;0;0;0
8,2500;16896;5;1;512;74;1,1978;2453;10;1;0;1;0;0
9,5000;19456;5;4;0;71;0,1768;362;1;0;0;0;0;0
9,7500;19968;5;4;512;71;0,2256;462;2;0;0;1;0;0
10,0000;20480;6;1;0;67;0,1353;277;1;0;0;0;0;0
10,2500;20992;6;1;512;67;1,2383;2536;10;1;1;1;1;0
11,5000;23552;6;4;0;62;0,2163;443;2;0;0;0;0;0
11,7500;24064;6;4;512;63;0,2500;512;2;0;0;0;0;0
12,0000;24576;7;1;0;64;1,7881;3662;14;1;1;1;1;1
