Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
2,5878;3754;0;4;768;74;0,2358;342;21;0;0;0;0;1
2,8235;4096;1;1;0;75;1,0464;1520;95;1;1;1;0;0
3,9995;5802;1;2;768;75;0,2295;333;21;0;0;0;0;0
4,2353;6144;1;3;0;79;0,8824;1282;80;1;0;0;0;1
5,1762;7509;1;4;256;79;0,2061;299;19;0;0;0;0;0
5,4113;7850;1;4;512;78;0,2137;310;19;0;0;0;0;0
5,6471;8192;1;4;768;79;1,0409;1512;95;1;1;1;1;0
6,8231;9898;2;2;512;75;0,2530;367;23;0;0;0;0;0
7,0588;10240;2;2;768;74;0,8127;1180;74;1;0;1;0;0
7,9998;11605;2;4;0;74;0,1558;226;14;0;0;0;0;0
8,2348;11946;2;4;256;74;0,2206;320;20;1;1;0;0;0
8,4706;12288;2;4;512;73;1,0099;1467;92;1;1;1;0;0
9,6466;13994;3;2;256;73;0,1765;256;16;0;0;0;0;0
9,8823;14336;3;2;512;73;0,9685;1407;88;1;1;1;1;0
11,0584;16042;3;4;256;73;0,2358;342;21;0;0;0;0;0
11,2941;16384;3;4;512;74;2,4789;3600;225;1;1;1;1;1
