Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,5000;1024;1;2;0;73;0,3750;768;3;0;0;0;0;1
1,0000;2048;1;3;0;73;0,6250;1280;5;1;0;1;0;0
1,7500;3584;1;4;512;71;0,1509;309;1;0;0;0;0;0
2,0000;4096;2;1;0;73;0,3677;753;3;1;0;0;0;0
2,5000;5120;2;2;0;73;0,2656;544;2;0;0;0;0;0
2,7500;5632;2;2;512;71;0,2017;413;2;0;0;0;0;0
3,0000;6144;2;3;0;73;0,1831;375;1;0;0;0;0;0
3,2500;6656;2;3;512;76;0,2188;448;2;1;1;1;1;1
4,2500;8704;3;1;512;80;0,2207;452;2;0;0;0;0;0
4,5000;9216;3;2;0;78;0,2227;456;2;0;0;1;0;0
4,7500;9728;3;2;512;76;0,1538;315;1;0;0;0;0;0
5,0000;10240;3;3;0;76;0,4800;983;4;1;0;1;0;0
5,5000;11264;3;4;0;73;0,2080;426;2;0;0;0;0;0
5,7500;11776;3;4;512;71;0,1465;300;1;1;1;1;1;0
6,2500;12800;4;1;512;76;0,1094;224;1;0;0;0;0;0
6,5000;13312;4;2;0;76;0,2383;488;2;1;0;1;0;0
6,7500;13824;4;2;512;80;0,1333;273;1;0;0;0;0;0
6,8750;14080;4;2;768;78;0,1250;256;1;0;0;0;0;0
7,0000;14336;4;3;0;76;0,5645;1156;5;1;1;1;1;1
8,2500;16896;5;1;512;73;0,6279;1286;5;0;0;0;0;0
9,0000;18432;5;3;0;73;0,6831;1399;5;1;0;0;0;0
9,7500;19968;5;4;512;71;0,5000;1024;4;1;0;1;0;0
10,2500;20992;6;1;512;73;0,1924;394;2;0;0;0;0;0
10,5000;21504;6;2;0;73;0,2402;492;2;0;0;1;0;0
10,7500;22016;6;2;512;71;0,2061;422;2;0;0;0;0;0
11,0000;22528;6;3;0;73;0,1729;354;1;0;0;0;0;0
11,2500;23040;6;3;512;76;0,1694;347;1;1;1;1;1;0
11,7500;24064;6;4;512;73;0,2134;437;2;0;0;0;0;0
12,0000;24576;7;1;0;75;0,2163;443;2;0;0;0;0;0
12,2500;25088;7;1;512;78;0,1968;403;2;1;0;0;0;0
12,5000;25600;7;2;0;75;0,4551;932;4;0;0;0;0;0
13,0000;26624;7;3;0;73;0,4893;1002;4;1;0;0;0;0
13,5000;27648;7;4;0;71;0,1875;384;2;0;0;1;0;0
13,7500;28160;7;4;512;76;0,6665;1365;5;1;1;1;1;1
