Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,3750;512;1;1;512;67;0,4124;563;4;0;0;0;0;1
0,7500;1024;1;2;0;70;0,3120;426;3;1;1;0;0;0
1,1250;1536;1;2;512;74;0,7229;987;8;0;0;1;0;0
1,8750;2560;1;3;512;67;0,7339;1002;8;0;0;0;0;0
2,6250;3584;1;4;512;65;0,6196;846;7;1;0;0;0;0
3,1875;4352;2;1;256;63;0,1494;204;2;0;0;0;0;0
3,3750;4608;2;1;512;62;0,3215;439;3;1;1;1;1;1
4,3125;5888;2;2;768;79;0,3794;518;4;0;0;0;0;0
4,6875;6400;2;3;256;77;0,1245;170;1;1;0;0;0;0
4,8750;6656;2;3;512;79;0,3281;448;4;1;0;1;0;0
5,2500;7168;2;4;0;74;0,3545;484;4;0;0;0;0;0
5,6250;7680;2;4;512;70;0,2703;369;3;1;1;1;1;0
6,3750;8704;3;1;512;67;0,3369;460;4;0;0;0;0;0
6,7500;9216;3;2;0;70;0,3684;503;4;1;0;0;0;0
7,1250;9728;3;2;512;74;0,7573;1034;8;0;0;1;0;0
7,8750;10752;3;3;512;67;0,7500;1024;8;0;0;0;0;0
8,6250;11776;3;4;512;69;1,7622;2406;19;1;1;1;1;1
