Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,0000;0;1;1;0;67;0,2637;450;2;0;0;0;0;1
0,3000;512;1;1;512;69;0,5438;928;4;1;0;1;0;0
0,9000;1536;1;2;512;67;0,2408;411;2;0;0;0;0;0
1,2000;2048;1;3;0;69;0,6187;1056;4;0;0;0;0;0
1,8000;3072;1;4;0;67;0,5748;981;4;1;1;1;1;1
3,0000;5120;2;2;0;69;0,4857;829;3;0;0;0;0;0
3,6000;6144;2;3;0;69;1,0096;1723;7;1;1;1;0;0
4,8000;8192;3;1;0;67;0,2496;426;2;0;0;0;0;0
5,1000;8704;3;1;512;69;0,5074;866;3;1;0;1;0;0
5,7000;9728;3;2;512;67;0,2883;492;2;0;0;0;0;0
6,0000;10240;3;3;0;69;0,5637;962;4;1;0;0;0;0
6,6000;11264;3;4;0;67;0,5309;906;4;0;0;0;0;0
7,2000;12288;4;1;0;69;1,1684;1994;8;0;0;0;0;0
8,4000;14336;4;3;0;65;1,1672;1992;8;1;1;1;1;0
10,2000;17408;5;2;0;65;0,3000;512;2;0;0;0;0;0
10,5000;17920;5;2;512;69;0,2771;473;2;0;0;0;0;0
10,8000;18432;5;3;0;67;0,8748;1493;6;1;1;1;0;0
11,7000;19968;5;4;512;65;0,3000;512;2;0;0;0;0;0
12,0000;20480;6;1;0;65;2,4000;4096;16;1;1;1;1;1
