Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
1,1613;3072;0;4;0;72;0,3871;1024;4;0;0;1;0;0
1,5484;4096;1;1;0;79;0,3958;1047;4;0;0;0;0;0
1,9355;5120;1;2;0;77;0,2521;667;3;1;0;1;0;1
2,3226;6144;1;3;0;77;0,1867;494;2;0;0;0;0;0
2,5161;6656;1;3;512;76;0,3587;949;4;0;0;0;0;0
2,9032;7680;1;4;512;74;0,3497;925;4;0;0;0;0;0
3,2903;8704;2;1;512;72;0,5806;1536;6;1;1;1;1;0
3,8710;10240;2;3;0;76;0,1758;465;2;0;0;0;0;0
4,0645;10752;2;3;512;77;0,2000;529;2;0;0;0;0;0
4,2581;11264;2;4;0;76;0,1667;441;2;0;0;1;0;0
4,4516;11776;2;4;512;74;0,0764;202;1;0;0;0;0;0
4,6452;12288;3;1;0;74;0,3395;898;4;1;0;1;0;0
5,0322;13312;3;2;0;72;0,2593;686;3;0;0;0;0;0
5,4193;14336;3;3;0;72;0,2109;558;2;0;0;0;0;0
5,6129;14848;3;3;512;74;0,3765;996;4;0;0;0;0;0
6,0000;15872;3;4;512;69;0,4419;1169;5;1;1;1;1;1
6,9677;18432;4;3;0;76;0,1935;512;2;0;0;0;0;0
7,1613;18944;4;3;512;77;0,1909;505;2;0;0;0;0;0
7,3548;19456;4;4;0;76;0,1610;426;2;0;0;1;0;0
7,5484;19968;4;4;512;74;0,0869;230;1;1;0;0;0;0
7,7419;20480;5;1;0;74;0,3489;923;4;0;0;1;0;0
8,1290;21504;5;2;0;72;0,2249;595;2;1;0;0;0;0
8,5161;22528;5;3;0;72;0,2109;558;2;0;0;1;1;0
8,7097;23040;5;3;512;79;0,3451;913;4;1;0;0;0;0
9,0968;24064;5;4;512;79;0,3871;1024;4;0;0;1;0;0
9,4839;25088;6;1;512;77;0,0968;256;1;0;0;0;0;0
9,5806;25344;6;1;768;76;0,4839;1280;5;1;1;1;1;0
10,4516;27648;6;4;0;72;0,1909;505;2;0;0;0;0;0
10,6451;28160;6;4;512;74;0,9530;2522;10;1;1;1;1;1
