Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,0000;0;1;1;0;74;0,2097;502;2;0;0;1;0;1
0,2143;512;1;1;512;76;0,1310;313;1;0;0;0;0;0
0,4286;1024;1;2;0;76;0,2105;504;2;1;1;1;1;0
0,6429;1536;1;2;512;74;0,1230;294;1;0;0;0;0;0
0,8571;2048;1;3;0;74;0,2201;527;2;1;1;1;0;0
1,0714;2560;1;3;512;76;0,1205;288;1;0;0;0;0;0
1,2857;3072;1;4;0;76;0,1963;470;2;0;0;1;0;0
1,5000;3584;1;4;512;74;0,1569;376;1;0;0;0;0;0
1,7143;4096;2;1;0;76;0,1892;453;2;0;0;0;0;0
1,9286;4608;2;1;512;74;0,5784;1384;5;1;1;1;0;1
4,2857;10240;3;3;0;74;0,2222;532;2;0;0;0;0;0
4,5000;10752;3;3;512;76;0,2373;568;2;0;0;0;0;0
4,7143;11264;3;4;0;74;0,2160;517;2;0;0;0;0;0
4,9286;11776;3;4;512;72;0,2059;493;2;1;0;0;0;0
5,1429;12288;4;1;0;74;0,1051;251;1;0;0;0;0;0
5,2500;12544;4;1;256;72;0,0954;228;1;0;0;0;0;0
5,3571;12800;4;1;512;71;0,5357;1282;5;1;1;1;1;0
7,7143;18432;5;3;0;74;0,4570;1093;4;0;0;0;0;0
8,1428;19456;5;4;0;72;0,2201;527;2;0;0;0;0;0
8,3571;19968;5;4;512;71;0,1812;434;2;1;0;0;0;0
8,5714;20480;6;1;0;74;0,3214;769;3;0;0;0;0;0
8,8928;21248;6;1;768;72;0,4286;1025;4;1;1;1;0;0
11,1428;26624;7;3;0;72;0,2017;483;2;0;0;0;0;0
11,3571;27136;7;3;512;71;0,2114;506;2;0;0;0;0;0
11,5714;27648;7;4;0;69;0,2201;527;2;0;0;0;0;0
11,7857;28160;7;4;512;71;0,1925;461;2;0;0;0;0;0
12,0000;28672;8;1;0;72;0,6642;1589;6;1;1;1;0;1
13,7143;32768;9;1;0;74;0,2419;579;2;0;0;0;0;0
13,9286;33280;9;1;512;76;0,1130;270;1;1;0;0;0;0
14,1428;33792;9;2;0;76;0,2026;485;2;0;1;1;0;0
14,3571;34304;9;2;512;74;0,1318;315;1;0;1;0;0;0
14,5714;34816;9;3;0;74;0,2151;515;2;0;1;1;0;0
14,7857;35328;9;3;512;76;0,1523;364;1;1;0;0;0;0
15,0000;35840;9;4;0;76;0,2201;527;2;0;0;1;0;0
15,2143;36352;9;4;512;74;0,1569;376;1;0;0;0;0;0
15,4286;36864;10;1;0;76;0,2114;506;2;0;0;0;0;0
15,6428;37376;10;1;512;74;0,5357;1282;5;1;1;1;1;0
17,7857;42496;11;2;512;66;0,2356;564;2;0;0;0;0;0
18,0000;43008;11;3;0;69;0,2453;587;2;0;0;0;0;0
18,2143;43520;11;3;512;67;0,2469;591;2;0;0;0;0;0
18,4286;44032;11;4;0;66;0,2143;513;2;1;0;1;0;0
18,6428;44544;11;4;512;69;0,1800;431;2;0;0;0;0;0
18,8571;45056;12;1;0;67;1,6159;3866;15;1;1;1;1;1
