Signature: 4/4, Ticks per Beat: 1024
onset;onsetics;takt;beat;ticks;pitch;durs;durtic;dur16;LBDM1;LBDM2;refLBDM1;refLBDM2;temperley
0,0000;0;1;1;0;67;0,4937;1011;4;0;0;0;0;1
0,5000;1024;1;2;0;69;0,5269;1079;4;0;0;0;0;0
1,0000;2048;1;3;0;70;0,2705;554;2;1;0;0;0;0
1,2500;2560;1;3;512;72;0,4404;902;4;0;0;0;0;0
1,7500;3584;1;4;512;74;1,2529;2566;10;1;1;1;0;0
3,0000;6144;2;3;0;72;0,2915;597;2;0;0;0;0;0
3,5000;7168;2;4;0;72;0,5000;1024;4;1;0;1;0;0
4,0000;8192;3;1;0;76;0,2153;441;2;0;0;0;0;0
4,2500;8704;3;1;512;72;0,1602;328;1;0;0;0;0;0
4,5000;9216;3;2;0;72;0,9614;1969;8;1;0;1;0;0
5,7500;11776;3;4;512;69;0,2500;512;2;0;0;0;0;0
6,0000;12288;4;1;0;74;0,5000;1024;4;0;0;0;0;0
6,5000;13312;4;2;0;72;1,2412;2542;10;1;1;1;1;1
8,5000;17408;5;2;0;67;0,5142;1053;4;0;0;0;0;0
9,0000;18432;5;3;0;69;0,5737;1175;5;0;0;0;0;0
9,5000;19456;5;4;0;70;0,5000;1024;4;0;0;0;0;0
10,0000;20480;6;1;0;72;0,6621;1356;5;1;0;1;0;0
11,5000;23552;6;4;0;74;0,4697;962;4;0;0;0;0;0
12,0000;24576;7;1;0;76;0,4531;928;4;1;0;1;0;0
12,5000;25600;7;2;0;72;0,4009;821;3;0;0;0;0;0
13,0000;26624;7;3;0;72;0,5186;1062;4;1;0;1;0;0
13,5000;27648;7;4;0;69;0,4927;1009;4;0;0;0;0;0
14,0000;28672;8;1;0;67;0,5049;1034;4;0;0;0;0;0
14,5000;29696;8;2;0;65;0,4321;885;3;0;0;0;0;0
15,0000;30720;8;3;0;69;0,5249;1075;4;1;1;1;1;0
16,5000;33792;9;2;0;65;1,0405;2131;8;0;0;0;0;0
17,5000;35840;9;4;0;64;0,4375;896;4;0;0;0;0;0
18,0000;36864;10;1;0;64;0,5288;1083;4;0;0;1;0;0
18,5000;37888;10;2;0;62;0,5176;1060;4;0;0;0;0;0
19,0000;38912;10;3;0;64;0,5083;1041;4;0;0;0;0;0
19,5000;39936;10;4;0;65;0,4673;957;4;1;1;1;1;0
21,0000;43008;11;3;0;65;1,0000;2048;8;0;0;0;0;0
22,0000;45056;12;1;0;64;0,9092;1862;7;1;1;1;1;1
